City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,krasnoselkup,65.7,82.4667,-0.61,85,100,13.19,RU,1680360068
315,ormara,25.2088,64.6357,24.98,75,0,5.38,PK,1680360069
316,sao joao da barra,-21.6403,-41.0511,32.05,60,49,0.51,BR,1680360069
317,cubuk,40.2386,33.0322,14.95,41,40,4.63,TR,1680360069
318,kumluca,36.3703,30.2869,15.83,77,62,3.2,TR,1680360069
319,caravelas,-17.7125,-39.2481,31.78,49,0,4.64,BR,1680360069
320,barabinsk,55.3571,78.357,-10.57,92,28,2.7,RU,1680360069
321,tymovskoye,50.8456,142.655,-2.26,97,23,2.04,RU,1680360070
322,zharkent,44.1628,80.0,9.14,20,0,2.1,KZ,1680360070
323,tiznit,29.5833,-9.5,29.69,20,0,5.44,MA,1680360070
324,dudinka,69.4058,86.1778,-9.1,95,100,10.68,RU,1680360070
325,aklavik,68.2191,-135.0107,-27.0,76,40,1.54,CA,1680360071
326,port hardy,50.6996,-127.4199,4.0,100,100,2.57,CA,1680360071
327,hobyo,5.3505,48.5268,29.04,73,73,5.76,SO,1680360071
328,laplace,30.0666,-90.4801,25.05,88,100,3.09,US,1680360071
329,kommunisticheskiy,61.6789,64.4819,2.38,92,100,4.61,RU,1680360071
330,glubokiy,48.5217,40.3258,8.17,68,35,1.8,RU,1680360071
331,birjand,32.8663,59.2211,20.26,18,20,4.12,IR,1680360071
332,lavrentiya,65.5833,-171.0,-3.6,97,100,1.48,RU,1680360072
333,maumere,-8.6199,122.2111,26.38,83,100,0.54,ID,1680360072
334,arona,28.0996,-16.681,26.29,37,0,14.4,ES,1680359703
335,santa fe,-31.6333,-60.7,20.72,47,0,4.02,AR,1680359950
336,fort nelson,58.8053,-122.7002,-8.23,84,100,2.57,CA,1680360013
337,beira,-19.8436,34.8389,29.05,61,75,4.12,MZ,1680359912
338,bonavista,48.6499,-53.1147,-0.26,87,41,2.69,CA,1680360073
339,ingham,42.6,-84.3833,6.97,89,100,4.63,US,1680360073
340,ranong,9.9658,98.6348,26.31,81,17,1.05,TH,1680360013
341,talnakh,69.4865,88.3972,-9.33,94,100,8.14,RU,1680360074
342,lata,40.1629,-8.3327,15.6,91,100,1.85,PT,1680360074
343,daru,-9.0763,143.2092,26.64,85,54,4.02,PG,1680360074
344,mount isa,-20.7333,139.5,25.87,36,98,3.6,AU,1680360074
345,labrea,-7.2586,-64.7981,23.05,99,100,1.37,BR,1680360075
346,salinopolis,-0.6136,-47.3561,26.82,81,95,2.91,BR,1680360075
347,cacapava do sul,-30.5122,-53.4914,19.43,37,0,2.76,BR,1680360075
348,victor harbor,-35.5667,138.6167,10.93,73,14,3.96,AU,1680360075
349,sagone,42.1155,8.6969,17.26,74,78,5.13,FR,1680360075
350,ribeira grande,38.5167,-28.7,18.22,88,75,5.36,PT,1680360076
351,vardo,70.3705,31.1107,-2.01,93,100,11.83,NO,1680360076
352,uruacu,-14.5247,-49.1408,30.66,50,1,1.7,BR,1680360077
353,waddan,29.1614,16.139,28.68,8,0,0.64,LY,1680360077
354,sistranda,63.7256,8.834,4.98,63,28,7.29,NO,1680360077
355,pevek,69.7008,170.3133,-20.53,98,100,8.0,RU,1680360077
356,port augusta,-32.5,137.7667,14.67,43,0,3.28,AU,1680360077
357,belyy yar,53.6039,91.3903,-12.06,72,87,2.0,RU,1680360078
358,saint-francois,46.4154,3.9054,10.93,76,75,5.66,FR,1680360078
359,igarka,67.4667,86.5833,-5.19,94,100,10.43,RU,1680360078
360,fare,-16.7,-151.0167,27.69,75,44,2.83,PF,1680360078
361,north platte,41.1239,-100.7654,1.88,71,0,2.06,US,1680360079
362,minudasht,37.2289,55.3747,9.76,93,100,3.09,IR,1680360079
363,pangnirtung,66.1451,-65.7125,-14.0,51,100,1.03,CA,1680360079
364,myitkyina,25.3833,97.4,18.28,93,98,1.49,MM,1680360079
